Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts,
03-Apr-2017,2435,2408.2,2411.7,598444,14470.376765,6263,
05-Apr-2017,2419.9,2395,2401.25,1452784,34890.3240405,8452,
06-Apr-2017,2410,2392.55,2400.05,860352,20645.3279295,7025,
07-Apr-2017,2433.25,2392.15,2429.05,1138506,27539.489353,11681,
10-Apr-2017,2449,2405,2422.25,1271632,30962.726962,14843,
11-Apr-2017,2443.1,2406,2419.3,778892,18923.5926815,8672,
12-Apr-2017,2428,2383,2393.25,525269,12624.346137,8995,
13-Apr-2017,2409,2321.05,2328.65,1250236,29264.5863875,21646,
17-Apr-2017,2332.9,2295.15,2314.85,1135441,26225.15682,16021,
18-Apr-2017,2334.2,2302.05,2308.8,865310,20070.5161565,36373,
19-Apr-2017,2348.7,2252.8,2299.15,2813406,64637.241258,92373,
20-Apr-2017,2332,2290.95,2325.5,634421,14650.519372,20835,
21-Apr-2017,2335.65,2301,2310.8,580577,13433.536566,13200,
24-Apr-2017,2339.65,2282.5,2328.1,1000010,23172.7354835,26382,
25-Apr-2017,2344.45,2302.7,2311.5,1574355,36416.0687645,36281,
26-Apr-2017,2343.95,2303.05,2310.35,1093719,25295.6249945,38144,
27-Apr-2017,2327.8,2277.65,2302.65,2886593,66599.934932,32958,
28-Apr-2017,2298.75,2268,2273.15,1270255,28980.770174,7853,
02-May-2017,2302,2280,2289.9,1191348,27298.412382,6908,
03-May-2017,2345,2268.5,2337.3,1757203,40796.349815,19274,
04-May-2017,2350,2308.8,2330.1,1354104,31506.9011985,12505,
05-May-2017,2332.5,2302.5,2320.5,841237,19512.8953665,11057,
08-May-2017,2347.4,2317.7,2342.45,535891,12526.847962,9912,
09-May-2017,2361,2332.55,2352.55,895135,21030.945028,10301,
10-May-2017,2356.15,2316,2332.45,603194,14056.2727225,8036,
11-May-2017,2360,2322.75,2349.45,1035651,24217.2880085,7467,
12-May-2017,2369.9,2320.05,2360.65,1157223,27205.904657,11051,
15-May-2017,2377.95,2341.6,2365.1,908802,21380.43383,11193,
16-May-2017,2435,2373.45,2429.15,1800513,43397.0320625,26804,
17-May-2017,2460.75,2423,2455.35,1438099,35137.286298,17432,
18-May-2017,2572,2442.25,2536.2,2569297,64894.7832485,52252,
19-May-2017,2540.55,2486,2507.15,893022,22384.298626,20755,
22-May-2017,2553.75,2510,2531.35,831970,21054.6114345,23572,
23-May-2017,2564.15,2514,2521.7,1374298,34776.4533905,39682,
24-May-2017,2570,2529.65,2559.15,1267274,32252.2783735,31524,
25-May-2017,2637.55,2568,2624.6,2047047,53333.772243,41119,
26-May-2017,2626.85,2564.65,2578.25,681275,17665.429107,9723,
29-May-2017,2596.5,2564,2572.85,874645,22545.2474395,8966,
30-May-2017,2575.95,2525,2551.1,463817,11849.3211245,8244,
31-May-2017,2572.5,2528,2546.6,1251365,31905.892911,9221,
01-Jun-2017,2564,2530,2553.6,540032,13786.1849335,5251,
02-Jun-2017,2591.85,2552.5,2564.9,677824,17412.2023405,5048,
05-Jun-2017,2619.9,2560.15,2603.95,750094,19331.404025,8267,
06-Jun-2017,2708.95,2630,2696,2973360,80077.80799,28967,
07-Jun-2017,2700,2576.55,2615.25,2463888,64675.885288,49531,
08-Jun-2017,2604.95,2515.5,2521.6,1665357,42357.3050325,30452,
09-Jun-2017,2547.4,2486,2507,1574017,39559.502654,27092,
12-Jun-2017,2512.9,2470.4,2487.2,813253,20229.480743,21091,
13-Jun-2017,2481.1,2447,2451.55,587707,14486.3534235,12052,
14-Jun-2017,2476,2455,2470.2,744571,18386.50964,11031,
15-Jun-2017,2469.7,2405,2411.2,1498599,36385.0904315,20444,
16-Jun-2017,2435,2386.5,2399.7,1225213,29441.421444,21326,
19-Jun-2017,2446.35,2405.15,2431.7,822371,19987.762222,16980,
20-Jun-2017,2449,2380.3,2445,835479,20278.284992,19848,
21-Jun-2017,2442.15,2397.2,2406.3,828909,19995.3013,16828,
22-Jun-2017,2431,2385,2394.85,2887941,69397.874211,23463,
23-Jun-2017,2413.95,2354,2361.7,712378,17017.112363,27993,
27-Jun-2017,2384.7,2331.6,2342.85,987165,23270.750445,49896,
28-Jun-2017,2358,2335,2350.05,894863,20992.5169365,46907,
29-Jun-2017,2372.05,2323.1,2333.25,1235913,28951.510886,32058,
30-Jun-2017,2377,2323.1,2362.35,876924,20704.2828785,10869,
03-Jul-2017,2383.05,2343.1,2373.6,737978,17478.7233605,8019,
04-Jul-2017,2380.45,2350.05,2366.85,607567,14380.5312465,7178,
05-Jul-2017,2365,2345,2356,407928,9604.3330245,5289,
06-Jul-2017,2361.9,2340.1,2347.55,513394,12058.3480735,5501,
07-Jul-2017,2356.45,2325.5,2331.95,616045,14436.977427,6443,
10-Jul-2017,2444.9,2341,2434.95,398392,9667.1436085,19154,
11-Jul-2017,2514.8,2426,2475.8,1768752,43831.9495265,32049,
12-Jul-2017,2483.3,2430.1,2439.45,1323225,32463.162553,19841,
13-Jul-2017,2472,2426.6,2446.4,1565980,38358.7301825,41962,
14-Jul-2017,2425,2375,2397.45,2254216,54014.9933635,86610,
17-Jul-2017,2422.1,2382.2,2395.45,1105911,26570.9537205,25955,
18-Jul-2017,2443,2396.15,2408.35,954001,23068.239028,27933,
19-Jul-2017,2460,2415.1,2449.6,1957788,47809.4365255,30030,
20-Jul-2017,2456.9,2430.5,2444.7,591252,14433.938939,17012,
21-Jul-2017,2500,2434.55,2491.2,1074208,26567.048632,31105,
24-Jul-2017,2540,2482,2530.7,1135701,28613.641703,33438,
25-Jul-2017,2580,2518.4,2571.5,1339416,34187.361445,55029,
26-Jul-2017,2575,2547,2556,729913,18683.296533,23105,
27-Jul-2017,2584.8,2466.5,2481.7,2127652,53188.0585845,45476,
28-Jul-2017,2493.05,2442,2484.3,691376,17059.0823475,12414,
31-Jul-2017,2519,2463,2491.8,1009831,25145.104504,12078,
01-Aug-2017,2520.75,2491,2501.65,873730,21861.9509735,6588,
02-Aug-2017,2508,2462,2473.8,625512,15540.8962675,7697,
03-Aug-2017,2502,2466.45,2489.45,941274,23407.095635,7574,
04-Aug-2017,2528.3,2488,2522.8,693945,17423.960919,11246,
07-Aug-2017,2520,2481.2,2503.45,942760,23486.8244405,8596,
08-Aug-2017,2528.6,2496.3,2503.05,536979,13465.5039715,9233,
09-Aug-2017,2522.85,2493.3,2512,496473,12468.0308155,7643,
10-Aug-2017,2520.6,2486.35,2511.45,763086,19071.167973,10286,
11-Aug-2017,2535,2483,2496.05,697368,17460.6038835,11688,
14-Aug-2017,2509.9,2463,2469.4,393252,9781.2024785,7434,
16-Aug-2017,2543.8,2465.2,2492.35,686670,17082.0248135,9807,
17-Aug-2017,2505,2462.1,2485.65,876187,21729.776848,11050,
18-Aug-2017,2549.9,2471.4,2513.8,1418678,35762.817218,23923,
21-Aug-2017,2549,2494.3,2528.8,1152417,29209.415477,12278,
22-Aug-2017,2539.5,2492,2497.55,565663,14232.516377,10451,
23-Aug-2017,2516.8,2473.15,2489.45,781136,19430.9396715,12387,
24-Aug-2017,2517.95,2486.15,2496.6,811954,20264.8743565,8755,
28-Aug-2017,2505.4,2461,2487.3,1018398,25253.7875495,19470,
29-Aug-2017,2496,2463.95,2470.85,656301,16230.1055065,20260,
30-Aug-2017,2490,2460.1,2484.55,485391,12030.2093715,20238,
31-Aug-2017,2504.4,2466.65,2496.35,892332,22218.301908,21835,
01-Sep-2017,2498.05,2436.55,2456.45,851165,20877.7046535,9123,
04-Sep-2017,2461,2438,2456.2,531272,13027.1121365,6610,
05-Sep-2017,2490,2437.05,2484.35,582997,14359.969991,6967,
06-Sep-2017,2474.85,2450,2453.2,614382,15081.662515,5384,
07-Sep-2017,2468.4,2451.05,2460.1,435318,10702.731546,4172,
08-Sep-2017,2474,2452.55,2470.6,510567,12591.261141,5705,
11-Sep-2017,2482.95,2450,2454.45,366382,9025.399414,6192,
